O index,O index,distance
254,310,2.788554197345565
254,358,2.68304163730075
254,426,2.544223786234986
254,474,2.641504715787582
254,506,2.5733138980152668
254,554,2.6395061587629765
255,255,0.0
255,311,2.785676747974307
255,359,2.679843249518033
255,427,2.647568444903452
255,475,2.618920145188493
255,507,2.5960600028014573
255,555,2.593901779880582
255,587,2.8504209871805246
256,256,0.0
256,320,2.7063700606708956
256,340,2.861402518838208
256,384,2.74335402000352
256,456,2.7793906025826196
256,524,2.531640773242229
256,536,2.889652313227586
257,257,0.0
257,321,2.6465822630383284
257,341,2.933188662594496
257,385,2.7131708146371127
257,457,2.8789840608462995
257,525,2.517707562287859
257,537,2.8365971375152412
257,595,2.6262051481925215
258,258,0.0
258,322,2.7174519134203465
258,342,2.788310661166401
258,386,2.6710589935855706
258,458,2.74846943495821
258,526,2.6650083321143727
258,538,2.7798061917484636
259,259,0.0
259,323,2.6500222080780658
259,343,2.8008418916961824
259,387,2.707783997370829
259,459,2.9006206928275007
259,527,2.6849523594595444
259,539,2.666133046540668
259,614,2.9808108395849704
260,260,0.0
260,328,2.539489626882814
260,349,2.6833731178883538
260,396,2.581348494045547
260,453,2.7089505631071367
260,516,2.639995313099422
260,528,2.5372024645587454
261,261,0.0
261,329,2.5752108357637424
261,348,2.6833015242734812
261,397,2.6122935266726355
261,452,2.721661031772009
261,517,2.679569842205492
261,529,2.637305031605315
262,262,0.0
262,330,2.6894459260771364
262,351,2.546700449012026
262,398,2.5843114889502483
262,455,2.7119695752525224
262,518,2.616900293922349
262,530,2.6189898674966288
263,263,0.0
263,331,2.673997042662111
263,350,2.730833516324189
263,399,2.571729620657251
263,454,2.6119530780494635
263,519,2.601710487288967
263,531,2.5691732392980295
264,264,0.0
264,332,2.8489153518444374
264,337,2.661820127045643
264,388,2.8882480669212076
264,449,2.6777675576556392
264,512,2.7666228213759867
264,540,2.5129524906233547
264,597,2.4986054191850617
265,265,0.0
265,333,2.8254934432746874
265,336,2.5200068363823402
265,389,2.776405672071936
265,448,2.714589274423687
265,513,2.6265834929886696
265,541,2.5836585675000685
266,266,0.0
266,334,2.90880334795894
266,339,2.6301131322001865
266,390,2.875142724100046
266,451,2.6578581971766924
266,514,2.79972626601969
266,542,2.5852631469945653
267,267,0.0
267,335,2.907828624333204
267,338,2.570376289580283
267,391,2.8593017598119657
267,450,2.67237342738059
267,515,2.8453559331726552
267,543,2.5523758262949343
