Si index,O index,distance
77,373,1.6869943573607167
77,469,1.6583057549119091
77,565,1.5913045821794545
78,220,1.5608975061454498
78,374,1.6630187906936211
78,470,1.6015252917738783
78,566,1.6110357642487787
79,221,1.6698678149247592
79,375,1.5600567316919012
79,471,1.616001894939257
79,567,1.619867053147138
80,208,1.6537873800297709
80,380,1.5835858849460505
80,476,1.5912518828902829
80,572,1.6006725325223132
81,209,1.6217448045016363
81,381,1.640163402760415
81,477,1.632024570209775
81,573,1.6057617232762886
82,210,1.5497946138880814
82,382,1.6861912186045067
82,478,1.5880240013382614
82,574,1.6324797914753721
83,211,1.623579327777215
83,383,1.6081841112042492
83,479,1.6367884997436206
83,575,1.576567735519565
84,240,1.6259714973352883
84,360,1.6008075018510706
84,476,1.6694253883030696
84,548,1.6339778380185814
85,241,1.614212753392474
85,361,1.5726843659202496
85,477,1.5666922026614345
85,549,1.6161551882788845
86,242,1.5995909188288404
86,362,1.5772873952864421
86,478,1.5913120037057322
86,550,1.559913425612577
87,243,1.6315440244983814
87,363,1.5973079062014475
87,479,1.5964487186494503
87,551,1.5881970118366655
88,244,1.6093310002938515
88,352,1.6372713139167874
88,464,1.6413277514743416
88,556,1.6448292905227389
89,245,1.6868783142826849
89,353,1.6124720889782944
89,465,1.6265562469951202
89,557,1.5797755970899987
90,246,1.6010993117219485
90,354,1.6342285062836788
90,466,1.6032096982788895
90,558,1.612787064393494
91,247,1.6051078718154725
91,355,1.6251458362176603
91,467,1.6705458437530296
91,559,1.6096271116132317
92,248,1.5926970677985899
92,364,1.59427401237652
92,468,1.5848137252316539
92,544,1.6122995820081358
93,249,1.640645379343261
93,365,1.6745638113167791
93,469,1.5788671134652454
93,545,1.6058525729236897
94,250,1.6198475498659788
94,366,1.5618737011129307
94,470,1.6175977794696408
94,546,1.6260034725132781
95,251,1.6218198928655274
95,367,1.6464853205085794
95,471,1.6079791390042117
95,547,1.6041721103839948
96,252,1.6275021928461857
96,356,1.595542651526916
96,472,1.6044570122771318
